"No.","Time","Source","Destination","Protocol","Length","Info","The RTT to ACK the segment was"
"90158","19.393056","222.29.98.58","10.1.246.45","TCP","224","5201  >  51020 [ACK] Seq=1 Ack=3702968 Win=4016 Len=0 TSval=1915938914 TSecr=1455334176","0.004818000,0.002042000"
"90193","19.398720","222.29.98.58","10.1.246.45","TCP","142","5201  >  51020 [ACK] Seq=1 Ack=3712586 Win=4016 Len=0 TSval=1915938914 TSecr=1455334176","0.007358000"
"90194","19.398769","222.29.98.58","10.1.246.45","TCP","224","5201  >  51020 [ACK] Seq=1 Ack=3734570 Win=4016 Len=0 TSval=1915938916 TSecr=1455334179","0.006395000,0.005942000"
"90257","19.406263","222.29.98.58","10.1.246.45","TCP","134","5201  >  51020 [ACK] Seq=1 Ack=3744188 Win=4016 Len=0 TSval=1915938925 TSecr=1455334181","0.008641000"
"90276","19.407797","222.29.98.58","10.1.246.45","TCP","134","5201  >  51020 [ACK] Seq=1 Ack=3773042 Win=4016 Len=0 TSval=1915938925 TSecr=1455334181","0.006575000"
"90288","19.409508","222.29.98.58","10.1.246.45","TCP","224","5201  >  51020 [ACK] Seq=1 Ack=3790904 Win=4016 Len=0 TSval=1915938930 TSecr=1455334190","0.005289000,0.004689000"
"90359","19.414027","222.29.98.58","10.1.246.45","TCP","232","5201  >  51020 [ACK] Seq=1 Ack=3811514 Win=4016 Len=0 TSval=1915938934 TSecr=1455334195","0.003468000,0.003881000"
"90360","19.414071","222.29.98.58","10.1.246.45","TCP","134","5201  >  51020 [ACK] Seq=1 Ack=3817010 Win=4016 Len=0 TSval=1915938934 TSecr=1455334199","0.002630000"
"90406","19.417909","222.29.98.58","10.1.246.45","TCP","224","5201  >  51020 [ACK] Seq=1 Ack=3832124 Win=4016 Len=0 TSval=1915938938 TSecr=1455334199","0.005867000,0.005712000"
"90437","19.420759","222.29.98.58","10.1.246.45","TCP","232","5201  >  51020 [ACK] Seq=1 Ack=3855482 Win=4016 Len=0 TSval=1915938938 TSecr=1455334199","0.007738000,0.006935000"
"90438","19.420804","222.29.98.58","10.1.246.45","TCP","134","5201  >  51020 [ACK] Seq=1 Ack=3870596 Win=4016 Len=0 TSval=1915938940 TSecr=1455334203","0.003281000"
"90459","19.422341","222.29.98.58","10.1.246.45","TCP","224","5201  >  51020 [ACK] Seq=1 Ack=3889832 Win=4016 Len=0 TSval=1915938942 TSecr=1455334206","0.004659000,0.003138000"
"90491","19.424682","222.29.98.58","10.1.246.45","TCP","134","5201  >  51020 [ACK] Seq=1 Ack=3903572 Win=4016 Len=0 TSval=1915938943 TSecr=1455334206","0.004134000"
"90518","19.426868","222.29.98.58","10.1.246.45","TCP","232","5201  >  51020 [ACK] Seq=1 Ack=3925556 Win=4016 Len=0 TSval=1915938945 TSecr=1455334207","0.005367000,0.004760000"
"90519","19.426913","222.29.98.58","10.1.246.45","TCP","142","5201  >  51020 [ACK] Seq=1 Ack=3928304 Win=4016 Len=0 TSval=1915938946 TSecr=1455334208","0.004284000"
"90520","19.426960","222.29.98.58","10.1.246.45","TCP","224","5201  >  51020 [ACK] Seq=1 Ack=3957158 Win=4016 Len=0 TSval=1915938947 TSecr=1455334210","0.003168000,0.002967000"
"90592","19.430530","222.29.98.58","10.1.246.45","TCP","134","5201  >  51020 [ACK] Seq=1 Ack=3962654 Win=4016 Len=0 TSval=1915938947 TSecr=1455334210","0.006296000"
"90631","19.432379","222.29.98.58","10.1.246.45","TCP","232","5201  >  51020 [ACK] Seq=1 Ack=3979142 Win=4016 Len=0 TSval=1915938949 TSecr=1455334212","0.006762000,0.006544000"
"90632","19.432425","222.29.98.58","10.1.246.45","TCP","224","5201  >  51020 [ACK] Seq=1 Ack=3990134 Win=4016 Len=0 TSval=1915938949 TSecr=1455334212","0.006234000,0.006054000"
"90717","19.436424","222.29.98.58","10.1.246.45","TCP","232","5201  >  51020 [ACK] Seq=1 Ack=4006622 Win=4016 Len=0 TSval=1915938955 TSecr=1455334214","0.006948000,0.006806000"
"90718","19.436471","222.29.98.58","10.1.246.45","TCP","232","5201  >  51020 [ACK] Seq=1 Ack=4024484 Win=4016 Len=0 TSval=1915938955 TSecr=1455334214","0.006536000,0.006168000"
"90719","19.436519","222.29.98.58","10.1.246.45","TCP","224","5201  >  51020 [ACK] Seq=1 Ack=4034102 Win=4016 Len=0 TSval=1915938955 TSecr=1455334214","0.003917000,0.003771000"
"90757","19.438641","222.29.98.58","10.1.246.45","TCP","224","5201  >  51020 [ACK] Seq=1 Ack=4050590 Win=4016 Len=0 TSval=1915938958 TSecr=1455334221","0.002954000,0.002721000"
"90785","19.441410","222.29.98.58","10.1.246.45","TCP","134","5201  >  51020 [ACK] Seq=1 Ack=4056086 Win=4016 Len=0 TSval=1915938958 TSecr=1455334221","0.005303000"
"90815","19.443608","222.29.98.58","10.1.246.45","TCP","232","5201  >  51020 [ACK] Seq=1 Ack=4097306 Win=4016 Len=0 TSval=1915938961 TSecr=1455334223","0.006435000,0.005309000"
"90816","19.443654","222.29.98.58","10.1.246.45","TCP","142","5201  >  51020 [ACK] Seq=1 Ack=4100054 Win=4016 Len=0 TSval=1915938961 TSecr=1455334223","0.005240000"
"90817","19.443699","222.29.98.58","10.1.246.45","TCP","224","5201  >  51020 [ACK] Seq=1 Ack=4111046 Win=4016 Len=0 TSval=1915938963 TSecr=1455334226","0.004108000,0.003907000"
"90828","19.444758","222.29.98.58","10.1.246.45","TCP","232","5201  >  51020 [ACK] Seq=1 Ack=4122038 Win=4016 Len=0 TSval=1915938964 TSecr=1455334226","0.004641000,0.003779000"
"90829","19.444802","222.29.98.58","10.1.246.45","TCP","134","5201  >  51020 [ACK] Seq=1 Ack=4127534 Win=4016 Len=0 TSval=1915938964 TSecr=1455334226","0.003620000"
"90859","19.446772","222.29.98.58","10.1.246.45","TCP","232","5201  >  51020 [ACK] Seq=1 Ack=4144022 Win=4016 Len=0 TSval=1915938966 TSecr=1455334228","0.004466000,0.004219000"
"90860","19.446817","222.29.98.58","10.1.246.45","TCP","224","5201  >  51020 [ACK] Seq=1 Ack=4157762 Win=4016 Len=0 TSval=1915938966 TSecr=1455334228","0.003909000,0.003658000"
"90876","19.447840","222.29.98.58","10.1.246.45","TCP","224","5201  >  51020 [ACK] Seq=1 Ack=4170128 Win=4016 Len=0 TSval=1915938967 TSecr=1455334231","0.004521000,0.003292000"
"90905","19.449970","222.29.98.58","10.1.246.45","TCP","134","5201  >  51020 [ACK] Seq=1 Ack=4176998 Win=4016 Len=0 TSval=1915938969 TSecr=1455334231","0.004841000"
"90928","19.451406","222.29.98.58","10.1.246.45","TCP","232","5201  >  51020 [ACK] Seq=1 Ack=4196234 Win=4016 Len=0 TSval=1915938971 TSecr=1455334231","0.006021000,0.005316000"
"90929","19.451452","222.29.98.58","10.1.246.45","TCP","134","5201  >  51020 [ACK] Seq=1 Ack=4211348 Win=4016 Len=0 TSval=1915938972 TSecr=1455334231","0.002509000"
"90971","19.453882","222.29.98.58","10.1.246.45","TCP","224","5201  >  51020 [ACK] Seq=1 Ack=4231958 Win=4016 Len=0 TSval=1915938974 TSecr=1455334237","0.004116000,0.003318000"
"91014","19.456440","222.29.98.58","10.1.246.45","TCP","224","5201  >  51020 [ACK] Seq=1 Ack=4260812 Win=4016 Len=0 TSval=1915938975 TSecr=1455334239","0.004900000,0.004286000"
"91039","19.458682","222.29.98.58","10.1.246.45","TCP","142","5201  >  51020 [ACK] Seq=1 Ack=4275926 Win=4016 Len=0 TSval=1915938975 TSecr=1455334239","0.005990000"
"91040","19.458728","222.29.98.58","10.1.246.45","TCP","224","5201  >  51020 [ACK] Seq=1 Ack=4297910 Win=4016 Len=0 TSval=1915938976 TSecr=1455334239","0.005501000,0.005051000"
"91075","19.460921","222.29.98.58","10.1.246.45","TCP","224","5201  >  51020 [ACK] Seq=1 Ack=4324016 Win=4016 Len=0 TSval=1915938981 TSecr=1455334241","0.006400000,0.005684000"
"91173","19.473100","222.29.98.58","10.1.246.45","TCP","142","5201  >  51020 [ACK] Seq=1 Ack=4339130 Win=4016 Len=0 TSval=1915938982 TSecr=1455334246","0.013806000"
"91174","19.473150","222.29.98.58","10.1.246.45","TCP","232","5201  >  51020 [ACK] Seq=1 Ack=4381724 Win=4016 Len=0 TSval=1915938985 TSecr=1455334246","0.012913000,0.011114000"
"91175","19.473199","222.29.98.58","10.1.246.45","TCP","134","5201  >  51020 [ACK] Seq=1 Ack=4388594 Win=4016 Len=0 TSval=1915938985 TSecr=1455334247","0.010916000"
"91257","19.478882","222.29.98.58","10.1.246.45","TCP","142","5201  >  51020 [ACK] Seq=1 Ack=4395464 Win=4016 Len=0 TSval=1915938995 TSecr=1455334250","0.012800000"
"91258","19.478928","222.29.98.58","10.1.246.45","TCP","224","5201  >  51020 [ACK] Seq=1 Ack=4427066 Win=4016 Len=0 TSval=1915938997 TSecr=1455334261","0.009388000,0.005343000"
"91288","19.480495","222.29.98.58","10.1.246.45","TCP","134","5201  >  51020 [ACK] Seq=1 Ack=4444928 Win=4016 Len=0 TSval=1915938997 TSecr=1455334261","0.005701000"
"91312","19.482417","222.29.98.58","10.1.246.45","TCP","134","5201  >  51020 [ACK] Seq=1 Ack=4475156 Win=4016 Len=0 TSval=1915939001 TSecr=1455334263","0.005617000"
"91333","19.483944","222.29.98.58","10.1.246.45","TCP","142","5201  >  51020 [ACK] Seq=1 Ack=4480652 Win=4016 Len=0 TSval=1915939001 TSecr=1455334263","0.006939000"
"91334","19.483989","222.29.98.58","10.1.246.45","TCP","232","5201  >  51020 [ACK] Seq=1 Ack=4499888 Win=4016 Len=0 TSval=1915939003 TSecr=1455334266","0.004525000,0.004278000"
"91335","19.484036","222.29.98.58","10.1.246.45","TCP","224","5201  >  51020 [ACK] Seq=1 Ack=4513628 Win=4016 Len=0 TSval=1915939003 TSecr=1455334266","0.003902000,0.003814000"
"91370","19.486263","222.29.98.58","10.1.246.45","TCP","224","5201  >  51020 [ACK] Seq=1 Ack=4539734 Win=4016 Len=0 TSval=1915939005 TSecr=1455334268","0.004432000,0.004054000"
"91389","19.488208","222.29.98.58","10.1.246.45","TCP","134","5201  >  51020 [ACK] Seq=1 Ack=4552100 Win=4016 Len=0 TSval=1915939005 TSecr=1455334268","0.005275000"
"91447","19.492638","222.29.98.58","10.1.246.45","TCP","142","5201  >  51020 [ACK] Seq=1 Ack=4557596 Win=4016 Len=0 TSval=1915939009 TSecr=1455334270","0.009238000"
"91448","19.492685","222.29.98.58","10.1.246.45","TCP","232","5201  >  51020 [ACK] Seq=1 Ack=4583702 Win=4016 Len=0 TSval=1915939010 TSecr=1455334274","0.007234000,0.005622000"
"91449","19.492730","222.29.98.58","10.1.246.45","TCP","134","5201  >  51020 [ACK] Seq=1 Ack=4594694 Win=4016 Len=0 TSval=1915939010 TSecr=1455334274","0.005227000"
"91532","19.500695","222.29.98.58","10.1.246.45","TCP","134","5201  >  51020 [ACK] Seq=1 Ack=4652402 Win=4016 Len=0 TSval=1915939020 TSecr=1455334277","0.006281000"
"91557","19.503509","222.29.98.58","10.1.246.45","TCP","142","5201  >  51020 [ACK] Seq=1 Ack=4681256 Win=4016 Len=0 TSval=1915939021 TSecr=1455334277","0.008017000"
"91558","19.503556","222.29.98.58","10.1.246.45","TCP","224","5201  >  51020 [ACK] Seq=1 Ack=4703240 Win=4016 Len=0 TSval=1915939023 TSecr=1455334286","0.003519000,0.003040000"
"91621","19.507862","222.29.98.58","10.1.246.45","TCP","224","5201  >  51020 [ACK] Seq=1 Ack=4725224 Win=4016 Len=0 TSval=1915939028 TSecr=1455334288","0.006490000,0.004078000"
"91658","19.510104","222.29.98.58","10.1.246.45","TCP","224","5201  >  51020 [ACK] Seq=1 Ack=4744460 Win=4016 Len=0 TSval=1915939029 TSecr=1455334288","0.006164000,0.005559000"
"91675","19.511746","222.29.98.58","10.1.246.45","TCP","142","5201  >  51020 [ACK] Seq=1 Ack=4765070 Win=4016 Len=0 TSval=1915939030 TSecr=1455334294","0.004431000"
"91676","19.511792","222.29.98.58","10.1.246.45","TCP","224","5201  >  51020 [ACK] Seq=1 Ack=4780184 Win=4016 Len=0 TSval=1915939031 TSecr=1455334295","0.003536000,0.003131000"
"91701","19.513060","222.29.98.58","10.1.246.45","TCP","134","5201  >  51020 [ACK] Seq=1 Ack=4785680 Win=4016 Len=0 TSval=1915939032 TSecr=1455334295","0.003952000"
"91763","19.516444","222.29.98.58","10.1.246.45","TCP","232","5201  >  51020 [ACK] Seq=1 Ack=4811786 Win=4016 Len=0 TSval=1915939034 TSecr=1455334298","0.006546000,0.005266000"
"91764","19.516490","222.29.98.58","10.1.246.45","TCP","134","5201  >  51020 [ACK] Seq=1 Ack=4824152 Win=4016 Len=0 TSval=1915939034 TSecr=1455334298","0.004585000"
"91802","19.519221","222.29.98.58","10.1.246.45","TCP","224","5201  >  51020 [ACK] Seq=1 Ack=4850258 Win=4016 Len=0 TSval=1915939036 TSecr=1455334298","0.007070000,0.006366000"
"91876","19.524242","222.29.98.58","10.1.246.45","TCP","224","5201  >  51020 [ACK] Seq=1 Ack=4870868 Win=4016 Len=0 TSval=1915939043 TSecr=1455334301","0.010254000,0.009962000"
"91906","19.526299","222.29.98.58","10.1.246.45","TCP","134","5201  >  51020 [ACK] Seq=1 Ack=4895600 Win=4016 Len=0 TSval=1915939043 TSecr=1455334306","0.005133000"
"91937","19.528347","222.29.98.58","10.1.246.45","TCP","224","5201  >  51020 [ACK] Seq=1 Ack=4921706 Win=4016 Len=0 TSval=1915939046 TSecr=1455334308","0.005508000,0.005006000"
"91983","19.531739","222.29.98.58","10.1.246.45","TCP","232","5201  >  51020 [ACK] Seq=1 Ack=4943690 Win=4016 Len=0 TSval=1915939049 TSecr=1455334308","0.008169000,0.006337000"
"91984","19.531784","222.29.98.58","10.1.246.45","TCP","134","5201  >  51020 [ACK] Seq=1 Ack=4967048 Win=4016 Len=0 TSval=1915939049 TSecr=1455334312","0.005326000"
"92006","19.533077","222.29.98.58","10.1.246.45","TCP","142","5201  >  51020 [ACK] Seq=1 Ack=4969796 Win=4016 Len=0 TSval=1915939051 TSecr=1455334314","0.004596000"
"92007","19.533121","222.29.98.58","10.1.246.45","TCP","232","5201  >  51020 [ACK] Seq=1 Ack=4980788 Win=4016 Len=0 TSval=1915939054 TSecr=1455334314","0.004418000,0.004279000"
"92008","19.533166","222.29.98.58","10.1.246.45","TCP","224","5201  >  51020 [ACK] Seq=1 Ack=4993154 Win=4016 Len=0 TSval=1915939054 TSecr=1455334314","0.002750000,0.002439000"
"92051","19.537968","222.29.98.58","10.1.246.45","TCP","232","5201  >  51020 [ACK] Seq=1 Ack=5001398 Win=4016 Len=0 TSval=1915939054 TSecr=1455334314","0.006523000,0.006434000"
"92052","19.538016","222.29.98.58","10.1.246.45","TCP","232","5201  >  51020 [ACK] Seq=1 Ack=5019260 Win=4016 Len=0 TSval=1915939055 TSecr=1455334319","0.005913000,0.005306000"
"92053","19.538061","222.29.98.58","10.1.246.45","TCP","134","5201  >  51020 [ACK] Seq=1 Ack=5023382 Win=4016 Len=0 TSval=1915939055 TSecr=1455334319","0.005189000"
"92094","19.541440","222.29.98.58","10.1.246.45","TCP","232","5201  >  51020 [ACK] Seq=1 Ack=5041244 Win=4016 Len=0 TSval=1915939061 TSecr=1455334319","0.007470000,0.006990000"
"92095","19.541486","222.29.98.58","10.1.246.45","TCP","134","5201  >  51020 [ACK] Seq=1 Ack=5064602 Win=4016 Len=0 TSval=1915939061 TSecr=1455334319","0.005990000"
"97158","19.954959","222.29.98.58","10.1.246.45","TCP","232","5201  >  51020 [ACK] Seq=1 Ack=8606774 Win=4016 Len=0 TSval=1915939475 TSecr=1455334739","0.002642000,0.002419000"
"97159","19.955005","222.29.98.58","10.1.246.45","TCP","134","5201  >  51020 [ACK] Seq=1 Ack=8619140 Win=4016 Len=0 TSval=1915939475 TSecr=1455334739","0.002051000"
"97243","19.959922","222.29.98.58","10.1.246.45","TCP","224","5201  >  51020 [ACK] Seq=1 Ack=8638376 Win=4016 Len=0 TSval=1915939479 TSecr=1455334741","0.004310000,0.004714000"
"97449","19.969624","222.29.98.58","10.1.246.45","TCP","134","5201  >  51020 [ACK] Seq=1 Ack=8645246 Win=4016 Len=0 TSval=1915939481 TSecr=1455334744","0.011246000"
"97671","19.987804","222.29.98.58","10.1.246.45","TCP","232","5201  >  51020 [ACK] Seq=1 Ack=8672726 Win=4016 Len=0 TSval=1915939491 TSecr=1455334744","0.029248000,0.028505000"
"97672","19.987851","222.29.98.58","10.1.246.45","TCP","232","5201  >  51020 [ACK] Seq=1 Ack=8693336 Win=4016 Len=0 TSval=1915939498 TSecr=1455334744","0.028297000,0.017436000"
"97673","19.987898","222.29.98.58","10.1.246.45","TCP","232","5201  >  51020 [ACK] Seq=1 Ack=8718068 Win=4016 Len=0 TSval=1915939499 TSecr=1455334756","0.017270000,0.013265000"
"97674","19.987946","222.29.98.58","10.1.246.45","TCP","232","5201  >  51020 [ACK] Seq=1 Ack=8733182 Win=4016 Len=0 TSval=1915939500 TSecr=1455334764","0.010150000,0.009811000"
"97675","19.987992","222.29.98.58","10.1.246.45","TCP","232","5201  >  51020 [ACK] Seq=1 Ack=8757914 Win=4016 Len=0 TSval=1915939505 TSecr=1455334764","0.009506000,0.008346000"
"97676","19.988037","222.29.98.58","10.1.246.45","TCP","142","5201  >  51020 [ACK] Seq=1 Ack=8770280 Win=4016 Len=0 TSval=1915939505 TSecr=1455334765","0.007963000"
"97677","19.988083","222.29.98.58","10.1.246.45","TCP","224","[TCP ACKed unseen segment] 5201  >  51020 [ACK] Seq=1 Ack=8786768 Win=4016 Len=0 TSval=1915939506 TSecr=1455334770","0.006629000"
"97705","19.989858","222.29.98.58","10.1.246.45","TCP","224","5201  >  51020 [ACK] Seq=1 Ack=8818370 Win=4016 Len=0 TSval=1915939510 TSecr=1455334770","0.005921000,0.005127000"
"97760","19.993205","222.29.98.58","10.1.246.45","TCP","224","5201  >  51020 [ACK] Seq=1 Ack=8844476 Win=4016 Len=0 TSval=1915939512 TSecr=1455334775","0.004525000,0.004074000"
"97776","19.994223","222.29.98.58","10.1.246.45","TCP","142","5201  >  51020 [ACK] Seq=1 Ack=8847224 Win=4016 Len=0 TSval=1915939512 TSecr=1455334775","0.004976000"
"97777","19.994269","222.29.98.58","10.1.246.45","TCP","232","5201  >  51020 [ACK] Seq=1 Ack=8862338 Win=4039 Len=0 TSval=1915939513 TSecr=1455334777","0.003660000,0.003613000"
"97778","19.994314","222.29.98.58","10.1.246.45","TCP","232","5201  >  51020 [ACK] Seq=1 Ack=8870582 Win=4169 Len=0 TSval=1915939513 TSecr=1455334777","0.003340000,0.003295000"
"97779","19.994360","222.29.98.58","10.1.246.45","TCP","232","5201  >  51020 [ACK] Seq=1 Ack=8876078 Win=4255 Len=0 TSval=1915939514 TSecr=1455334778","0.003225000,0.002973000"
"97780","19.994406","222.29.98.58","10.1.246.45","TCP","224","5201  >  51020 [ACK] Seq=1 Ack=8888444 Win=4448 Len=0 TSval=1915939514 TSecr=1455334778","0.002637000,0.002523000"
"97809","19.995805","222.29.98.58","10.1.246.45","TCP","232","5201  >  51020 [ACK] Seq=1 Ack=8892566 Win=4513 Len=0 TSval=1915939515 TSecr=1455334778","0.003587000,0.003543000"
"97810","19.995850","222.29.98.58","10.1.246.45","TCP","232","5201  >  51020 [ACK] Seq=1 Ack=8907680 Win=4750 Len=0 TSval=1915939515 TSecr=1455334779","0.003256000,0.003055000"
"97811","19.995896","222.29.98.58","10.1.246.45","TCP","224","5201  >  51020 [ACK] Seq=1 Ack=8913176 Win=4837 Len=0 TSval=1915939516 TSecr=1455334781","0.002942000,0.002394000"
"97844","19.998285","222.29.98.58","10.1.246.45","TCP","232","5201  >  51020 [ACK] Seq=1 Ack=8922794 Win=4988 Len=0 TSval=1915939516 TSecr=1455334781","0.004738000,0.004438000"
"97845","19.998331","222.29.98.58","10.1.246.45","TCP","142","5201  >  51020 [ACK] Seq=1 Ack=8926916 Win=5052 Len=0 TSval=1915939516 TSecr=1455334781","0.004319000"
"97846","19.998379","222.29.98.58","10.1.246.45","TCP","224","5201  >  51020 [ACK] Seq=1 Ack=8940656 Win=5160 Len=0 TSval=1915939518 TSecr=1455334781","0.003144000,0.002889000"
"97917","20.002286","222.29.98.58","10.1.246.45","TCP","232","5201  >  51020 [ACK] Seq=1 Ack=8950274 Win=5203 Len=0 TSval=1915939522 TSecr=1455334782","0.006277000,0.006054000"
"97918","20.002331","222.29.98.58","10.1.246.45","TCP","232","5201  >  51020 [ACK] Seq=1 Ack=8961266 Win=5203 Len=0 TSval=1915939522 TSecr=1455334782","0.005897000,0.003695000"
"97919","20.002376","222.29.98.58","10.1.246.45","TCP","224","5201  >  51020 [ACK] Seq=1 Ack=8969510 Win=5203 Len=0 TSval=1915939522 TSecr=1455334783","0.003651000,0.003475000"
"97991","20.007283","222.29.98.58","10.1.246.45","TCP","232","5201  >  51020 [ACK] Seq=1 Ack=8990120 Win=5203 Len=0 TSval=1915939524 TSecr=1455334787","0.006977000,0.006646000"
"97992","20.007329","222.29.98.58","10.1.246.45","TCP","134","5201  >  51020 [ACK] Seq=1 Ack=9012104 Win=5203 Len=0 TSval=1915939524 TSecr=1455334787","0.005746000"
"98044","20.010117","222.29.98.58","10.1.246.45","TCP","224","5201  >  51020 [ACK] Seq=1 Ack=9031340 Win=5203 Len=0 TSval=1915939525 TSecr=1455334787","0.008036000,0.007494000"
"98061","20.011529","222.29.98.58","10.1.246.45","TCP","224","5201  >  51020 [ACK] Seq=1 Ack=9045080 Win=5203 Len=0 TSval=1915939531 TSecr=1455334790","0.005764000,0.005541000"
"98093","20.013283","222.29.98.58","10.1.246.45","TCP","232","5201  >  51020 [ACK] Seq=1 Ack=9065690 Win=5203 Len=0 TSval=1915939532 TSecr=1455334790","0.008017000,0.007080000"
"98094","20.013329","222.29.98.58","10.1.246.45","TCP","224","5201  >  51020 [ACK] Seq=1 Ack=9095918 Win=5203 Len=0 TSval=1915939532 TSecr=1455334790","0.005912000,0.005781000"
"98181","20.019305","222.29.98.58","10.1.246.45","TCP","224","5201  >  51020 [ACK] Seq=1 Ack=9106910 Win=5203 Len=0 TSval=1915939539 TSecr=1455334798","0.008390000,0.008138000"
"98207","20.021465","222.29.98.58","10.1.246.45","TCP","134","5201  >  51020 [ACK] Seq=1 Ack=9128894 Win=5203 Len=0 TSval=1915939540 TSecr=1455334798","0.008926000"
