"No.","Time","Source","Destination","Protocol","Length","Info","The RTT to ACK the segment was"
"159","4.108352","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=63242 Win=155776 Len=0 TSval=1915938428 TSecr=1455333691","0.004180000"
"168","4.108374","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=68738 Win=166656 Len=0 TSval=1915938428 TSecr=1455333691","0.004196000"
"169","4.111106","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=79730 Win=188672 Len=0 TSval=1915938430 TSecr=1455333693","0.005653000"
"170","4.111126","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=82478 Win=194176 Len=0 TSval=1915938430 TSecr=1455333693","0.005663000"
"171","4.111131","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=94844 Win=218880 Len=0 TSval=1915938430 TSecr=1455333693","0.005655000"
"180","4.112689","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=96218 Win=221824 Len=0 TSval=1915938431 TSecr=1455333695","0.004778000"
"187","4.114186","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=105836 Win=241024 Len=0 TSval=1915938434 TSecr=1455333696","0.005859000"
"188","4.114194","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=112706 Win=254848 Len=0 TSval=1915938434 TSecr=1455333696","0.005827000"
"205","4.115306","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=116828 Win=263040 Len=0 TSval=1915938435 TSecr=1455333696","0.006935000"
"206","4.117211","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=118202 Win=265984 Len=0 TSval=1915938435 TSecr=1455333699","0.004949000"
"207","4.117220","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=125072 Win=279680 Len=0 TSval=1915938437 TSecr=1455333699","0.004943000"
"208","4.117223","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=127820 Win=285184 Len=0 TSval=1915938437 TSecr=1455333699","0.004943000"
"209","4.119552","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=136064 Win=280704 Len=0 TSval=1915938437 TSecr=1455333700","0.006350000"
"234","4.125009","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=147056 Win=285568 Len=0 TSval=1915938443 TSecr=1455333702","0.009881000"
"242","4.125054","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=158048 Win=285568 Len=0 TSval=1915938443 TSecr=1455333702","0.009908000"
"250","4.125079","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=164918 Win=288384 Len=0 TSval=1915938444 TSecr=1455333708","0.004066000"
"251","4.127119","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=166292 Win=292224 Len=0 TSval=1915938445 TSecr=1455333708","0.006104000"
"252","4.127135","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=177284 Win=285568 Len=0 TSval=1915938445 TSecr=1455333708","0.006103000"
"253","4.127141","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=180032 Win=283648 Len=0 TSval=1915938446 TSecr=1455333708","0.006106000"
"268","4.129302","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=184154 Win=290304 Len=0 TSval=1915938447 TSecr=1455333711","0.005413000"
"269","4.129318","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=188276 Win=287488 Len=0 TSval=1915938447 TSecr=1455333711","0.005424000"
"270","4.129323","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=191024 Win=291328 Len=0 TSval=1915938447 TSecr=1455333711","0.005426000"
"271","4.129326","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=195146 Win=290304 Len=0 TSval=1915938447 TSecr=1455333712","0.004283000"
"288","4.130503","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=202016 Win=288384 Len=0 TSval=1915938450 TSecr=1455333712","0.005439000"
"289","4.130518","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=206138 Win=285568 Len=0 TSval=1915938451 TSecr=1455333712","0.005449000"
"297","4.132664","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=210260 Win=282624 Len=0 TSval=1915938451 TSecr=1455333712","0.007590000"
"298","4.132676","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=218504 Win=287488 Len=0 TSval=1915938452 TSecr=1455333716","0.004032000"
"299","4.136801","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=229496 Win=293376 Len=0 TSval=1915938452 TSecr=1455333716","0.008128000"
"300","4.136822","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=241862 Win=293376 Len=0 TSval=1915938455 TSecr=1455333718","0.006444000"
"301","4.136829","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=247358 Win=293376 Len=0 TSval=1915938455 TSecr=1455333718","0.006443000"
"302","4.136833","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=251480 Win=293376 Len=0 TSval=1915938455 TSecr=1455333718","0.006442000"
"306","4.136866","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=255602 Win=293376 Len=0 TSval=1915938456 TSecr=1455333720","0.004232000"
"339","4.141685","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=265220 Win=293376 Len=0 TSval=1915938461 TSecr=1455333720","0.004825000"
"348","4.141745","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=273464 Win=293376 Len=0 TSval=1915938461 TSecr=1455333726","0.003148000"
"349","4.141753","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=276212 Win=293376 Len=0 TSval=1915938462 TSecr=1455333726","0.003151000"
"357","4.151108","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=285830 Win=293376 Len=0 TSval=1915938463 TSecr=1455333726","0.012023000"
"366","4.151212","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=298196 Win=293376 Len=0 TSval=1915938463 TSecr=1455333726","0.011690000"
"374","4.151274","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=309188 Win=293376 Len=0 TSval=1915938464 TSecr=1455333728","0.010673000"
"375","4.151920","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=316058 Win=293376 Len=0 TSval=1915938469 TSecr=1455333729","0.010190000"
"376","4.151939","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=320180 Win=293376 Len=0 TSval=1915938470 TSecr=1455333729","0.010201000"
"377","4.151950","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=327050 Win=293376 Len=0 TSval=1915938471 TSecr=1455333735","0.004322000"
"397","4.154024","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=329798 Win=293376 Len=0 TSval=1915938472 TSecr=1455333737","0.004527000"
"398","4.154051","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=336668 Win=293376 Len=0 TSval=1915938473 TSecr=1455333738","0.002863000"
"412","4.156908","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=350408 Win=293376 Len=0 TSval=1915938475 TSecr=1455333738","0.005646000"
"413","4.157606","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=358652 Win=293376 Len=0 TSval=1915938476 TSecr=1455333740","0.004896000"
"414","4.157645","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=373766 Win=293376 Len=0 TSval=1915938477 TSecr=1455333741","0.003676000"
"415","4.157667","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=376514 Win=293376 Len=0 TSval=1915938477 TSecr=1455333741","0.003686000"
"432","4.162304","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=394376 Win=293376 Len=0 TSval=1915938480 TSecr=1455333742","0.007219000"
"433","4.163419","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=397124 Win=293376 Len=0 TSval=1915938483 TSecr=1455333746","0.004782000"
"465","4.222481","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=416360 Win=293376 Len=0 TSval=1915938540 TSecr=1455333746","0.063731000"
"474","4.222701","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=435596 Win=293376 Len=0 TSval=1915938542 TSecr=1455333805","0.004320000"
"475","4.222729","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=441092 Win=293376 Len=0 TSval=1915938542 TSecr=1455333805","0.004324000"
"476","4.222749","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=450710 Win=293376 Len=0 TSval=1915938543 TSecr=1455333807","0.003055000"
"477","4.222772","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=453458 Win=293376 Len=0 TSval=1915938543 TSecr=1455333807","0.003066000"
"488","4.224738","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=457580 Win=293376 Len=0 TSval=1915938543 TSecr=1455333808","0.003830000"
"501","4.228830","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=469946 Win=293376 Len=0 TSval=1915938546 TSecr=1455333808","0.006167000"
"514","4.232080","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=483686 Win=293376 Len=0 TSval=1915938550 TSecr=1455333812","0.007511000"
"515","4.232872","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=496052 Win=293376 Len=0 TSval=1915938552 TSecr=1455333816","0.004103000"
"516","4.232924","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=498800 Win=293376 Len=0 TSval=1915938552 TSecr=1455333816","0.004143000"
"529","4.237276","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=515288 Win=293376 Len=0 TSval=1915938556 TSecr=1455333816","0.006853000"
"530","4.237326","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=516662 Win=296320 Len=0 TSval=1915938557 TSecr=1455333818","0.006897000"
"545","4.241759","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=518036 Win=299136 Len=0 TSval=1915938560 TSecr=1455333822","0.007129000"
"546","4.242685","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=529028 Win=321152 Len=0 TSval=1915938562 TSecr=1455333822","0.007947000"
"547","4.242745","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=533150 Win=329344 Len=0 TSval=1915938562 TSecr=1455333822","0.007985000"
"581","4.246828","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=545516 Win=354176 Len=0 TSval=1915938566 TSecr=1455333828","0.006333000"
"582","4.246866","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=552386 Win=367872 Len=0 TSval=1915938566 TSecr=1455333828","0.006334000"
"583","4.249479","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=562004 Win=387072 Len=0 TSval=1915938568 TSecr=1455333832","0.004851000"
"584","4.249529","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=571622 Win=406272 Len=0 TSval=1915938568 TSecr=1455333832","0.004825000"
"585","4.249563","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=581240 Win=425600 Len=0 TSval=1915938569 TSecr=1455333833","0.003777000"
"626","4.260555","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=583988 Win=431104 Len=0 TSval=1915938575 TSecr=1455333834","0.013883000"
"629","4.260675","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=588110 Win=439296 Len=0 TSval=1915938575 TSecr=1455333834","0.013980000"
"630","4.260699","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=597728 Win=458496 Len=0 TSval=1915938575 TSecr=1455333834","0.013924000"
"637","4.260797","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=601850 Win=466816 Len=0 TSval=1915938576 TSecr=1455333840","0.007606000"
"638","4.260811","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=619712 Win=501376 Len=0 TSval=1915938577 TSecr=1455333840","0.007495000"
"645","4.261787","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=623834 Win=510720 Len=0 TSval=1915938577 TSecr=1455333842","0.007039000"
"646","4.261827","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=632078 Win=510720 Len=0 TSval=1915938578 TSecr=1455333842","0.007034000"
"647","4.261850","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=644444 Win=510720 Len=0 TSval=1915938579 TSecr=1455333842","0.006918000"
"648","4.261861","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=647192 Win=512000 Len=0 TSval=1915938580 TSecr=1455333845","0.004070000"
"649","4.261878","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=651314 Win=514048 Len=0 TSval=1915938580 TSecr=1455333845","0.004063000"
"665","4.264460","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=655436 Win=514048 Len=0 TSval=1915938583 TSecr=1455333845","0.003805000"
"674","4.265681","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=671924 Win=514048 Len=0 TSval=1915938585 TSecr=1455333848","0.004271000"
"683","4.270766","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=688412 Win=514048 Len=0 TSval=1915938587 TSecr=1455333850","0.007742000"
"713","4.273647","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=699404 Win=514048 Len=0 TSval=1915938592 TSecr=1455333850","0.008035000"
"714","4.273700","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=703526 Win=514048 Len=0 TSval=1915938592 TSecr=1455333853","0.008066000"
"715","4.275085","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=714518 Win=514048 Len=0 TSval=1915938593 TSecr=1455333857","0.005034000"
"716","4.275131","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=721388 Win=514048 Len=0 TSval=1915938595 TSecr=1455333858","0.003917000"
"734","4.277596","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=729632 Win=514048 Len=0 TSval=1915938595 TSecr=1455333858","0.006337000"
"735","4.280290","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=733754 Win=514048 Len=0 TSval=1915938599 TSecr=1455333860","0.007255000"
"736","4.280324","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=754364 Win=514048 Len=0 TSval=1915938600 TSecr=1455333860","0.007149000"
"767","4.283944","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=757112 Win=514048 Len=0 TSval=1915938604 TSecr=1455333865","0.006536000"
"768","4.283982","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=777722 Win=514048 Len=0 TSval=1915938604 TSecr=1455333865","0.006434000"
"787","4.286199","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=780470 Win=514048 Len=0 TSval=1915938605 TSecr=1455333869","0.004313000"
"788","4.286232","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=794210 Win=514048 Len=0 TSval=1915938606 TSecr=1455333869","0.004238000"
"801","4.288924","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=801080 Win=514048 Len=0 TSval=1915938608 TSecr=1455333871","0.005164000"
"802","4.288961","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=818942 Win=514048 Len=0 TSval=1915938608 TSecr=1455333871","0.005073000"
"824","4.290426","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=825812 Win=514048 Len=0 TSval=1915938610 TSecr=1455333873","0.004403000"
"836","4.292633","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=843674 Win=514048 Len=0 TSval=1915938610 TSecr=1455333873","0.006488000"
"837","4.292680","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=860162 Win=514048 Len=0 TSval=1915938612 TSecr=1455333875","0.004493000"
"854","4.297128","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=871154 Win=514048 Len=0 TSval=1915938613 TSecr=1455333877","0.006890000"
"855","4.297169","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=875276 Win=514048 Len=0 TSval=1915938614 TSecr=1455333877","0.006871000"
"867","4.297394","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=882146 Win=514048 Len=0 TSval=1915938614 TSecr=1455333877","0.007059000"
"868","4.297410","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=889016 Win=514048 Len=0 TSval=1915938614 TSecr=1455333877","0.007036000"
"869","4.297429","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=894512 Win=514048 Len=0 TSval=1915938617 TSecr=1455333879","0.005699000"
"870","4.297439","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=897260 Win=514048 Len=0 TSval=1915938617 TSecr=1455333879","0.005694000"
"871","4.300430","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=904130 Win=514048 Len=0 TSval=1915938617 TSecr=1455333879","0.008649000"
"872","4.300481","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=911000 Win=514048 Len=0 TSval=1915938619 TSecr=1455333883","0.004613000"
"895","4.303935","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=920618 Win=514048 Len=0 TSval=1915938621 TSecr=1455333883","0.007975000"
"909","4.305365","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=935732 Win=514048 Len=0 TSval=1915938623 TSecr=1455333883","0.008045000"
"910","4.305424","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=941228 Win=514048 Len=0 TSval=1915938623 TSecr=1455333884","0.008075000"
"930","4.309281","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=954968 Win=514048 Len=0 TSval=1915938624 TSecr=1455333889","0.007837000"
"940","4.309472","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=967334 Win=514048 Len=0 TSval=1915938626 TSecr=1455333890","0.006754000"
"941","4.309497","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=971456 Win=514048 Len=0 TSval=1915938626 TSecr=1455333890","0.006758000"
"951","4.310176","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=987944 Win=514048 Len=0 TSval=1915938627 TSecr=1455333891","0.005954000"
"952","4.310232","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=990692 Win=514048 Len=0 TSval=1915938628 TSecr=1455333891","0.004684000"
"953","4.310247","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=996188 Win=514048 Len=0 TSval=1915938630 TSecr=1455333893","0.004653000"
"954","4.310260","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=1001684 Win=514048 Len=0 TSval=1915938630 TSecr=1455333893","0.004637000"
"975","4.311590","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=1011302 Win=514048 Len=0 TSval=1915938631 TSecr=1455333895","0.003210000"
"976","4.311622","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=1015424 Win=514048 Len=0 TSval=1915938631 TSecr=1455333895","0.003219000"
"977","4.311641","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=1022294 Win=514048 Len=0 TSval=1915938632 TSecr=1455333897","0.002217000"
"978","4.313660","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=1030538 Win=514048 Len=0 TSval=1915938633 TSecr=1455333897","0.004061000"
"979","4.313695","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=1040156 Win=514048 Len=0 TSval=1915938633 TSecr=1455333897","0.004046000"
"1005","4.316233","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=1045652 Win=514048 Len=0 TSval=1915938635 TSecr=1455333898","0.005159000"
"1006","4.316279","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=1052522 Win=514048 Len=0 TSval=1915938636 TSecr=1455333898","0.005167000"
"1007","4.316295","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=1060766 Win=514048 Len=0 TSval=1915938636 TSecr=1455333899","0.004801000"
"1024","4.317422","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=1066262 Win=514048 Len=0 TSval=1915938636 TSecr=1455333899","0.005898000"
"1025","4.317453","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=1069010 Win=514048 Len=0 TSval=1915938636 TSecr=1455333899","0.003267000"
"1040","4.321005","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=1078628 Win=514048 Len=0 TSval=1915938639 TSecr=1455333901","0.006747000"
"1054","4.321252","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=1086872 Win=514048 Len=0 TSval=1915938639 TSecr=1455333901","0.006904000"
"1055","4.321284","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=1093742 Win=514048 Len=0 TSval=1915938639 TSecr=1455333901","0.006900000"
"1056","4.321298","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=1101986 Win=514048 Len=0 TSval=1915938639 TSecr=1455333901","0.006870000"
